Reef_ID,Nick_ID,Lat,Long,Unique_ID,Label.ID,GBR.Name,OldReefName,Area_desc,Shelf.position,AIMS_Sector,GreenZone,Ref.Area.km2,Geom.total.km2,Geom.CH.km2,Ungrazable
1,42,-10.7795,142.5916,10330100104,10-330,U/N Reef,U/N Reef (10-330),Far Northern,1,1,0,2.149739067,1.214730992,0.83553108,0.273867268
2,42,-10.7966,142.7106,10331100104,10-331,Harrington Shoal,Harrington Shoal (10-331),Far Northern,1,1,0,1.099287194,1.353880779,0.050957401,0.263837962
3,42,-10.8243,142.5736,10332100104,10-332,U/N Reef,U/N Reef (10-332),Far Northern,1,1,0,0.972122477,0.024653019,1.70837e-4,0.267173829
4,42,-10.8354,142.5766,10333100104,10-333,U/N Reef,U/N Reef (10-333),Far Northern,1,1,0,0.452623649,0.005192255,2.96e-5,0.26719934
5,42,-10.8199,142.6871,10334100104,10-334,Four Fathom Patches,Four Fathom Patches (10-334),Far Northern,1,1,0,1.675575057,0.140334174,0.001210186,0.267194842
6,42,-10.8213,142.7231,10335100104,10-335,Harrington Reef,Harrington Reef (10-335),Far Northern,1,1,0,1.958119183,6.251795736,4.162737108,0.269955408
7,43,-10.821,142.7622,10336100104,10-336,Wyborn Reef,Wyborn Reef (10-336),Far Northern,1,1,0,14.7598151,32.94112143,18.15511237,0.270062604
8,43,-10.8079,142.9288,10337100104,10-337,U/N Reef,U/N Reef (10-337),Far Northern,1,1,0,0.633047059,2.592491079,1.906177059,0.270186711
9,29,-10.7999,142.9836,10338100104,10-338,Womer Reef,Womer Reef (10-338),Far Northern,2,1,0,3.078088701,9.238410291,6.788223198,0.245342343
10,42,-10.887,142.6933,10339100104,10-339,Brewis Reef,Brewis Reef (10-339),Far Northern,1,1,0,0.169230579,0.778217373,0.513973791,0.273867268
11,48,-10.8899,142.6963,10340100104,10-340,Turtle Island Reef,Turtle Island Reef (10-340),Far Northern,1,1,0,0.287754922,1.426894155,0.679536067,0.272787083
12,48,-10.9013,142.7727,10341100104,10-341,Shortland Reef,Shortland Reef (10-341),Far Northern,1,1,0,3.598260056,10.63921445,7.136815376,0.270702176
13,42,-10.9214,142.6311,10342100104,10-342,Trochus Reef,Trochus Reef (10-342),out,1,1,0,0.65189758,0.630944403,0.071476397,0.273867268
14,36,-10.7754,143.0896,10299100104,10-299,U/N Reef,U/N Reef (10-299),Far Northern,2,1,0,3.570746016,10.6687756,6.153130426,0.226130617
15,28,-10.7043,142.597,10316100104,10-316,Tree Reef,Tree Reef (10-316),Far Northern,1,1,0,0.091574808,0.384725539,0.130701654,0.273867268
16,28,-10.709,142.5979,10317100104,10-317,Brush Islet Reef,Brush Islet Reef (10-317),Far Northern,1,1,0,0.139032325,0.404154524,0.079961712,0.273867268
17,28,-10.7153,142.593,10318101104,10-318a,Albany Island Reef (No 1),Albany Island Reef (No 1) (10-318a),Far Northern,1,1,0,0.683440573,1.822569459,0.500427867,0.273867268
18,28,-10.7283,142.6178,10318102104,10-318b,Albany Island Reef (No 2),Albany Island Reef (No 2) (10-318b),Far Northern,1,1,0,0.819595393,1.430005868,0.51283562,0.273867268
19,42,-10.7466,142.6233,10318103104,10-318c,Albany Island Reef (No 3),Albany Island Reef (No 3) (10-318c),Far Northern,1,1,0,0.535923941,0.619412055,0.2788252,0.273867268
20,42,-10.7389,142.6049,10318104104,10-318d,Albany Island Reef (No 4),Albany Island Reef (No 4) (10-318d),Far Northern,1,1,0,1.238391536,1.14395372,0.151779392,0.273867268
21,28,-10.7245,142.6248,10320100104,10-320,Mai Reef,Mai Reef (10-320),Far Northern,1,1,0,0.837121903,0.887828177,0.523262873,0.273867268
22,28,-10.7189,142.6299,10321100104,10-321,Albany Rock Reef,Albany Rock Reef (10-321),Far Northern,1,1,0,0.102350336,0.177548565,0.001576551,0.267200135
23,28,-10.7008,142.6732,10322100104,10-322,North Brother Reef,North Brother Reef (10-322),Far Northern,1,1,0,0.118486403,0.506302146,0.005126039,0.267196292
24,32,-10.7119,142.6854,10323100104,10-323,Middle Brother Reef,Middle Brother Reef (10-323),Far Northern,1,1,0,0.671475219,2.595796974,1.504882857,0.266412351
25,32,-10.7167,142.6918,10324100104,10-324,South Brother Reef,South Brother Reef (10-324),Far Northern,1,1,0,0.276504519,0.373108051,0.046773134,0.256515227
26,32,-10.6803,142.7383,10325100104,10-325,North Ledge,North Ledge (10-325),out,1,1,0,5.843854654,3.557212576,1.814945137,0.272215998
27,35,-10.6825,142.7861,10326100104,10-326,Meggi-Damun Reef,Meggi-Damun Reef (10-326),out,1,1,0,5.075106107,2.601032276,2.024583715,0.271716335
28,32,-10.7053,142.7323,10327100104,10-327,South Ledge,South Ledge (10-327),Far Northern,1,1,0,37.12019031,56.06588578,15.58375128,0.271461022
29,42,-10.7578,142.6143,10328100104,10-328,Ulfa Reef,Ulfa Reef (10-328),Far Northern,1,1,0,0.071102277,0.122481076,0.065526301,0.273737911
30,42,-10.7708,142.6252,10329100104,10-329,Ariel Bank,Ariel Bank (10-329),Far Northern,1,1,0,0.291489453,0.579231962,0.376311179,0.273867268
31,51,-10.8032,143.8008,10401100104,10-401,U/N Reef,U/N Reef (10-401),Far Northern,2,1,0,1.173020403,1.435608079,1.04472844,0.259499025
32,45,-10.8055,144.0066,10402100104,10-402,U/N Reef,U/N Reef (10-402),Far Northern,3,1,1,8.127260358,13.77825288,6.644563554,0.307856302
33,45,-10.8237,143.9961,10403100104,10-403,U/N Reef,U/N Reef (10-403),Far Northern,3,1,1,4.446980191,6.944413533,4.339748023,0.315605892
34,51,-10.8251,143.8238,10404100104,10-404,U/N Reef,U/N Reef (10-404),Far Northern,2,1,0,2.694349477,3.792766994,2.594624565,0.261406409
35,51,-10.8462,143.7581,10405100104,10-405,U/N Reef,U/N Reef (10-405),Far Northern,2,1,0,4.300677627,1.844638216,0.120996384,0.228214562
36,47,-10.8449,144.0145,10406100104,10-406,U/N Reef,U/N Reef (10-406),Far Northern,3,1,0,9.078165772,15.80001337,6.478941981,0.288477678
37,47,-10.8661,143.9845,10407101104,10-407a,U/N Reef,U/N Reef (10-407a),Far Northern,3,1,0,1.572976972,2.318147949,1.466331114,0.29479571
38,48,-10.9369,142.7059,10343101104,10-343a,Turtle Head Island Reef (No 1),Turtle Head Island Reef (No 1) (10-343a),Far Northern,1,1,0,0.208930985,0.149746267,0.08215113,0.273867268
39,48,-10.9475,142.7062,10343102104,10-343b,Turtle Head Island Reef (No 2),Turtle Head Island Reef (No 2) (10-343b),Far Northern,1,1,0,0.672271069,0.464816994,0.293674209,0.273867268
40,48,-10.99,142.7664,10344100104,10-344,Tern Reef,Tern Reef (10-344),Far Northern,1,1,0,0.224175971,0.317308774,5.83592e-4,0.263837962
41,36,-10.6836,143.2521,10348100104,10-348,U/N Reef,U/N Reef (10-348),out,2,1,0,1.451686867,3.231054958,0.17859726,0.237745432
42,33,-10.6971,143.4338,10349100104,10-349,U/N Reef,U/N Reef (10-349),Far Northern,2,1,0,1.349929368,4.482107765,1.563807089,0.253258948
43,33,-10.6966,143.4663,10350100104,10-350,U/N Reef,U/N Reef (10-350),Far Northern,2,1,0,0.504667933,1.82975951,1.074871365,0.252941804
44,36,-10.7318,143.1903,10351100104,10-351,U/N Reef,U/N Reef (10-351),Far Northern,2,1,0,5.789357893,15.01246076,7.755676438,0.247058097
45,36,-10.7347,143.3368,10352100104,10-352,U/N Reef,U/N Reef (10-352),Far Northern,2,1,0,4.727264924,11.05641077,3.891241279,0.231410545
46,36,-10.7519,143.0937,10353100104,10-353,U/N Reef,U/N Reef (10-353),Far Northern,2,1,0,2.471655068,7.113342859,4.656814869,0.228007871
47,44,-10.7523,143.3718,10354100104,10-354,U/N Reef,U/N Reef (10-354),Far Northern,2,1,0,0.500982204,1.072274036,0.041178099,0.228214562
48,36,-10.7568,143.3243,10355100104,10-355,U/N Reef,U/N Reef (10-355),Far Northern,2,1,0,1.58737338,5.449079006,3.248906927,0.215444052
49,44,-10.7762,143.412,10356100104,10-356,U/N Reef,U/N Reef (10-356),Far Northern,2,1,0,1.456697788,4.604347135,1.944531342,0.272630134
50,49,-10.8058,143.3534,10357100104,10-357,U/N Reef,U/N Reef (10-357),Far Northern,2,1,0,2.557593767,6.655687941,3.493884406,0.23626041
51,49,-10.8378,143.3357,10358100104,10-358,U/N Reef,U/N Reef (10-358),Far Northern,2,1,0,9.247711697,21.01315729,10.67319613,0.231263718
52,54,-10.9405,143.4596,10359100104,10-359,U/N Reef,U/N Reef (10-359),Far Northern,2,1,0,4.033226161,7.77468895,0.148495502,0.220167335
53,53,-10.8391,143.2982,10360100104,10-360,U/N Reef,U/N Reef (10-360),Far Northern,2,1,0,0.783369707,3.321849143,1.654157378,0.215586404
54,49,-10.849,143.4038,10361100104,10-361,U/N Reef,U/N Reef (10-361),Far Northern,2,1,1,1.996952119,3.794137947,2.060487855,0.262748858
55,36,-10.853,143.239,10362100104,10-362,U/N Reef,U/N Reef (10-362),Far Northern,2,1,0,1.688112548,6.140376086,3.990953691,0.204263732
56,53,-10.895,143.2402,10363100104,10-363,U/N Reef,U/N Reef (10-363),Far Northern,2,1,0,0.944297408,3.857988164,0.072141026,0.194690944
57,58,-10.8976,143.21,10364100104,10-364,U/N Reef,U/N Reef (10-364),Far Northern,2,1,0,1.275670918,4.864711846,3.240308478,0.215275837
58,58,-10.9066,143.1778,10365100104,10-365,Linda Reef,Linda Reef (10-365),Far Northern,2,1,0,1.427418927,5.369267165,3.619260195,0.213644186
59,53,-10.9039,143.2898,10366100104,10-366,U/N Reef,U/N Reef (10-366),Far Northern,2,1,0,0.438408806,2.004618374,0.024105923,0.237745434
60,53,-10.9055,143.3829,10367100104,10-367,U/N Reef,U/N Reef (10-367),Far Northern,2,1,1,4.159630719,9.898985565,3.179550135,0.254105678
61,53,-10.9151,143.3141,10368100104,10-368,U/N Reef,U/N Reef (10-368),Far Northern,2,1,0,4.57741358,11.93201426,3.015582243,0.222319534
62,53,-10.9318,143.2959,10369100104,10-369,U/N Reef,U/N Reef (10-369),Far Northern,2,1,0,1.619784546,5.847266893,0.296367026,0.212242859
63,58,-10.9325,143.2183,10370100104,10-370,U/N Reef,U/N Reef (10-370),Far Northern,2,1,0,0.547688055,1.760032349,0.039692698,0.221038564
64,58,-10.9469,143.2423,10371100104,10-371,U/N Reef,U/N Reef (10-371),Far Northern,2,1,0,1.461051914,5.3264339530000004,3.591077884,0.211820934
65,58,-10.9503,143.1571,10372100104,10-372,U/N Reef,U/N Reef (10-372),Far Northern,2,1,0,0.840715025,3.515546935,2.027679614,0.208488961
66,58,-10.952,143.1301,10373100104,10-373,U/N Reef,U/N Reef (10-373),Far Northern,2,1,0,0.766962422,3.26657867,2.343075357,0.225439014
67,53,-10.9392,143.3598,10374100104,10-374,U/N Reef,U/N Reef (10-374),Far Northern,2,1,0,3.859788479,10.50015404,0.208325707,0.230249148
68,53,-10.9637,143.3997,10375101104,10-375a,U/N Reef,U/N Reef (10-375a),Far Northern,2,1,0,2.502228372,6.815928671,0.104234692,0.223313939
69,54,-10.9676,143.4256,10375102104,10-375b,U/N Reef,U/N Reef (10-375b),Far Northern,2,1,0,2.874181117,7.125624259,0.047404704,0.231442951
70,63,-10.9866,143.1255,10376100104,10-376,U/N Reef,U/N Reef (10-376),Far Northern,2,1,0,1.180828541,4.613423528,3.83975148,0.244693563
71,54,-10.9059,143.5107,10378100104,10-378,U/N Reef,U/N Reef (10-378),Far Northern,2,1,1,5.249787106,4.189349524,0.197651407,0.228214562
72,34,-10.6879,143.9645,10381100104,10-381,U/N Reef,U/N Reef (10-381),Far Northern,3,1,1,11.27354834,5.27814052,3.156293382,0.289298811
73,30,-10.7029,143.7871,10382100104,10-382,U/N Reef,U/N Reef (10-382),Far Northern,2,1,0,4.210381614,5.056040915,4.201923356,0.242208462
74,39,-10.7097,143.9638,10384100104,10-384,U/N Reef,U/N Reef (10-384),Far Northern,3,1,1,9.798163605,15.15562246,9.948745002,0.321891911
75,39,-10.725,143.9587,10385100104,10-385,U/N Reef,U/N Reef (10-385),Far Northern,3,1,1,1.555261447,3.650011061,2.084008087,0.330276308
76,39,-10.7232,143.9796,10386100104,10-386,U/N Reef,U/N Reef (10-386),Far Northern,3,1,1,4.540010362,9.415720413,4.605529319,0.318724018
77,33,-10.6933,143.521,10387100104,10-387,U/N Reef,U/N Reef (10-387),Far Northern,2,1,0,7.238445362,8.708216674,3.573806302,0.239674323
78,39,-10.7344,143.9648,10389100104,10-389,U/N Reef,U/N Reef (10-389),Far Northern,3,1,1,1.188239532,2.659193627,1.419244764,0.309951477
79,39,-10.7404,143.9733,10390100104,10-390,U/N Reef,U/N Reef (10-390),Far Northern,3,1,1,3.260668453,7.168195653,4.058629166,0.306157033
80,41,-10.7554,143.9823,10391100104,10-391,Triangle Reef,Triangle Reef (10-391),Far Northern,3,1,1,17.94364155,20.98519615,11.04712776,0.317314253
81,38,-10.742,143.6065,10392100104,10-392,U/N Reef,U/N Reef (10-392),Far Northern,2,1,0,82.37137572,31.07551483,10.78155754,0.263755309
82,38,-10.7423,143.7443,10393100104,10-393,U/N Reef,U/N Reef (10-393),Far Northern,2,1,0,19.11412868,3.306719892,0.19029341,0.1574447
83,44,-10.7697,143.5057,10394100104,10-394,U/N Reef,U/N Reef (10-394),Far Northern,2,1,0,0.842093086,3.447506051,2.36181822,0.240055677
84,40,-10.7893,143.6909,10395100104,10-395,U/N Reef,U/N Reef (10-395),Far Northern,2,1,0,4.374456724,1.470750951,0.710061125,0.206507538
85,40,-10.7703,143.7166,10396100104,10-396,U/N Reef,U/N Reef (10-396),Far Northern,2,1,0,2.520361261,5.019717802,0.257528368,0.237745433
86,41,-10.7667,143.8438,10397100104,10-397,U/N Reef,U/N Reef (10-397),Far Northern,2,1,0,0.736513701,1.875727983,0.107930633,0.237745433
87,41,-10.7782,143.9755,10398100104,10-398,U/N Reef,U/N Reef (10-398),Far Northern,3,1,1,3.941937136,6.643893417,3.965384881,0.330371765
88,41,-10.7857,143.9853,10399100104,10-399,U/N Reef,U/N Reef (10-399),Far Northern,3,1,1,4.209366766,8.096052152,4.628680595,0.311424407
89,41,-10.7943,143.9898,10400100104,10-400,U/N Reef,U/N Reef (10-400),Far Northern,3,1,1,3.556495879,7.058758035,3.662499339,0.291973932
90,55,-10.9508,144.0145,10426100104,10-426,U/N Reef,U/N Reef (10-426),Far Northern,3,1,0,4.639533341,8.455259258,5.661195489,0.302742087
91,54,-10.9445,143.5114,10427100104,10-427,U/N Reef,U/N Reef (10-427),Far Northern,2,1,0,9.963610433,15.46803879,0.104880587,0.228214562
92,47,-10.8356,143.9988,10428101104,10-428a,U/N Reef,U/N Reef (10-428a),Far Northern,3,1,1,0.414885166,0.485221969,0.30833374,0.27675202
93,45,-10.8301,144.0089,10428102104,10-428b,U/N Reef,U/N Reef (10-428b),Far Northern,3,1,1,0.438085694,1.47390219,0.892965303,0.2931148
94,28,-10.7299,142.5771,10430100104,10-430,U/N Reef,U/N Reef (10-430),Far Northern,1,1,0,0.134193481,0.412274271,0.256698037,0.273867268
95,42,-10.7988,142.5796,10431100104,10-431,U/N Reef,U/N Reef (10-431),Far Northern,1,1,0,0.302820941,0.269262212,0.158959092,0.273867268
96,42,-10.832,142.5527,10432100104,10-432,U/N Reef,U/N Reef (10-432),Far Northern,1,1,0,1.512085786,1.404029516,1.018911127,0.273748884
97,42,-10.7572,142.6044,10434100104,10-434,U/N Reef,U/N Reef (10-434),Far Northern,1,1,0,0.978706573,0.644407577,0.424271398,0.273867268
98,49,-10.8402,143.3795,10436100104,10-436,U/N Reef,U/N Reef (10-436),Far Northern,2,1,1,0.068004295,0.424610294,0.004205344,0.237746613
