"Reef.Number","OldReefName","Year","Coral.Cover","Method","Lat","Long","Mean","CoverLower_estimate","CoverUpper_estimate","Range"
1,"U/N Reef (10-330)",2014,29.72676,"Reefmod",NA,NA,56.3902820975679,46.598821117615,65.0422569693917,18.4434358517767
2,"Harrington Shoal (10-331)",2014,28.80647,"Reefmod",NA,NA,55.4079942811849,45.952880642619,64.3664640588224,18.4135834162035
3,"U/N Reef (10-332)",2014,17.0333,"Reefmod",NA,NA,49.9957368928336,44.4266357319357,58.5202445996746,14.0936088677389
4,"U/N Reef (10-333)",2014,16.83148,"Reefmod",NA,NA,51.2995646636223,39.8291289693599,62.8255913380329,22.996462368673
5,"Four Fathom Patches (10-334)",2014,17.76398,"Reefmod",NA,NA,58.1781012537761,51.9440140987935,65.6662537872356,13.7222396884421
6,"Harrington Reef (10-335)",2014,35.92157,"Reefmod",NA,NA,60.6464450525152,52.7754827908049,69.4357962775728,16.6603134867679
7,"Wyborn Reef (10-336)",2014,36.0091,"Reefmod",NA,NA,48.9628856190755,39.4811832618467,61.3310736871904,21.8498904253437
8,"U/N Reef (10-337)",2014,36.3586,"Reefmod",NA,NA,46.4708224322351,34.2671141099404,59.7742496117228,25.5071355017824
9,"Womer Reef",2020,6,"Census",-10.7999,142.9836,27.4839350393647,17.5032847198174,35.3489877265151,17.8457030066977
10,"Brewis Reef (10-339)",2014,29.46378,"Reefmod",NA,NA,55.9461778204107,40.3532165546218,66.1412663928881,25.7880498382663
11,"Turtle Island Reef (10-340)",2014,30.09497,"Reefmod",NA,NA,55.8891089520019,44.1843726999572,63.2943541181246,19.1099814181674
12,"Shortland Reef (10-341)",2014,31.80236,"Reefmod",NA,NA,54.5957841982857,38.5737658021173,64.9622803871766,26.3885145850593
13,"Trochus Reef (10-342)",2014,22.62492,"Reefmod",NA,NA,56.4561516725118,45.075742262863,67.0879943857414,22.0122521228784
14,"U/N Reef (10-299)",2023,25.4,"RJFMP",NA,NA,28.1094583174549,18.093973179833,37.1272073724922,19.0332341926592
15,"Tree Reef (10-316)",2014,32.91887,"Reefmod",NA,NA,62.5722013522062,57.0207473509706,69.9152283084815,12.8944809575109
16,"Brush Islet Reef (10-317)",2014,33.68499,"Reefmod",NA,NA,55.4424123295711,44.071022188178,63.4762834256928,19.4052612375148
17,"Albany Island Reef (No 1) (10-318a)",2014,33.27626,"Reefmod",NA,NA,56.3184749849919,44.2835292788786,65.7582535270609,21.4747242481823
18,"Albany Island Reef (No 2) (10-318b)",2014,32.50617,"Reefmod",NA,NA,44.7752082347167,32.0164807908455,57.8995537588386,25.8830729679931
19,"Albany Island Reef (No 3) (10-318c)",2014,29.4207,"Reefmod",NA,NA,57.7180756514363,45.9723611740139,68.145464504907,22.1731033308931
20,"Albany Island Reef (No 4) (10-318d)",2014,27.24586,"Reefmod",NA,NA,52.4227068273803,43.3978312846076,62.5699513575417,19.172120072934
21,"Mai Reef (10-320)",2014,33.81494,"Reefmod",NA,NA,54.332385387717,33.8056513283615,69.1728562184652,35.3672048901037
22,"Albany Rock Reef (10-321)",2014,22.06604,"Reefmod",NA,NA,52.0541152519572,37.8099343275771,62.6810947349908,24.8711604074137
23,"North Brother Reef (10-322)",2014,25.98786,"Reefmod",NA,NA,54.369591041527,41.8064886768442,65.7401365861928,23.9336479093486
24,"Middle Brother Reef (10-323)",2014,39.4824,"Reefmod",NA,NA,56.4325621689539,49.7311735571881,62.409376091423,12.6782025342349
25,"South Brother Reef (10-324)",2014,30.34249,"Reefmod",NA,NA,52.0172455521394,40.5775647688563,61.3016878172473,20.724123048391
26,"North Ledge (10-325)",2014,37.81261,"Reefmod",NA,NA,46.1063945363734,36.1259625010963,62.2060155543278,26.0800530532315
27,"Meggi-Damun Reef (10-326)",2014,35.78353,"Reefmod",NA,NA,58.0559844880297,45.7908500347898,68.2768141585442,22.4859641237544
28,"South Ledge (10-327)",2024,13.6,"COTS",NA,NA,19.2565494982713,18.5407511234445,20.7803894374083,2.23963831396382
29,"Ulfa Reef (10-328)",2014,27.95297,"Reefmod",NA,NA,52.5416923595836,39.3110151733746,64.4343652368318,25.1233500634572
30,"Ariel Bank (10-329)",2014,27.97187,"Reefmod",NA,NA,52.67651401617,35.8367241307947,65.6321380311087,29.795413900314
31,"U/N Reef (10-401)",2014,30.90764,"Reefmod",NA,NA,55.4522785115958,51.6794967855042,62.8596882219609,11.1801914364567
32,"U/N Reef (10-402)",2014,29.919,"Reefmod",NA,NA,54.9193206082933,45.5925828551657,63.1152979821424,17.5227151269768
33,"U/N Reef (10-403)",2024,30.9,"RJFMP",NA,NA,32.8636101717808,23.1500772427204,42.7981870913568,19.6481098486364
34,"U/N Reef (10-404)",2014,35.83186,"Reefmod",NA,NA,55.6931687535287,41.6067562444525,64.3080682201398,22.7013119756874
35,"U/N Reef (10-405)",2014,27.59276,"Reefmod",NA,NA,55.580707220401,46.8666033644114,64.5505272128066,17.6839238483953
36,"U/N Reef (10-406)",2024,29.1,"RJFMP",NA,NA,28.8423842646324,21.5411934502432,36.2137243269976,14.6725308767544
37,"U/N Reef (10-407a)",2014,29.20347,"Reefmod",NA,NA,56.9147689481737,47.6289808865425,65.2490750009348,17.6200941143923
38,"Turtle Head Island Reef (No 1) (10-343a)",2014,25.6999,"Reefmod",NA,NA,55.9983225958011,52.0366292548961,63.5918983192716,11.5552690643755
39,"Turtle Head Island Reef (No 2) (10-343b)",2014,25.48282,"Reefmod",NA,NA,56.9208587627831,45.3880122324722,68.6168387977209,23.2288265652488
40,"Tern Reef (10-344)",2014,16.06711,"Reefmod",NA,NA,57.0824543748857,46.1340832106624,66.4191503294974,20.285067118835
41,"U/N Reef (10-348)",2014,28.02139,"Reefmod",NA,NA,44.7607599623307,38.1598428443044,52.2311348672966,14.0712920229922
42,"U/N Reef (10-349)",2024,9.6,"RJFMP",NA,NA,9.02304663895096,4.51480403748931,11.7501916259106,7.23538758842128
43,"U/N Reef (10-350)",2014,37.54985,"Reefmod",NA,NA,42.8488236784089,30.22305105405,56.980985151077,26.7579340970269
44,"U/N Reef (10-351)",2023,31,"RJFMP",NA,NA,25.3994489504751,18.0012479276676,34.9551670948831,16.9539191672155
45,"U/N Reef (10-352)",2024,18.8,"RJFMP",NA,NA,17.246699840055,12.3515432485664,22.6662928731474,10.314749624581
46,"U/N Reef (10-353)",2023,43,"RJFMP",NA,NA,38.8329099160465,25.9441167270864,48.751280272503,22.8071635454166
